URL,Creator's Tag,Black nav text?,Anime,Song,Artist
https://www.instagram.com/p/CHs5wRzghp0/,holdmyblues,n,Hyouka,,
https://www.instagram.com/p/CHyP4VtgxOW/,ck1n6,n,Neon Genesis Evangelion,never (feat. o_super),mag.lo
https://www.instagram.com/p/CHagaDvAVY9/,lowenergyvibe,n,Neon Genesis Evangelion,never (feat. o_super),mag.lo 
https://www.instagram.com/p/CHyjTB1APUD/,gotthchan,y,Death Note,Cудно,Молчат Дома
https://www.instagram.com/p/CHvRvHLMe-s/,c3ffs,n,Tokyo Ghoul,Transit Theme,Call of Duty Zombies
https://www.instagram.com/p/CHqGwWAAiRE/,c3ffs,y,Death Note,Money,The Drums
https://www.instagram.com/p/CHlDc-KALPN/,sum0nes,n,Death Note,Young,Vacations
https://www.instagram.com/p/CHx_08LlerJ/,luvrskyo,y,Kakegurui ,Promiscuous (feat. Timbaland),Nelly Furtado
https://www.instagram.com/p/CHyMc7thP0z/,ldealisms,n,Re: Zero,I Don't Want to Set the World on Fire,The Ink Spots
https://www.instagram.com/p/CHxhbaLgrR-/,cutchlofi,n,Weathering With You,we used to talk every night,Elijah Who
https://www.instagram.com/p/CHwblPqjYzk/,paletteism,n,Cowboy Bebop,City Lounge,Saib
https://www.instagram.com/p/CHvjqEgAvBB/,ldealisms,n,Hunter x Hunter (1999),Affection,Jinsang
https://www.instagram.com/p/CHwsAzkgHJ7/,vhs_lofi,y,Tokyo Ghoul,Laughing on the Outside,Bernadette Caroll
https://www.instagram.com/p/CHzBsfNjTMg/,paletteism,n,Mobile Suit Gundam F91,Stars N Keys,Fcj
https://www.instagram.com/p/CHy2PplAjyZ/,radiantlybroke,n,Cowboy Bebop,foreboding,BaKu
https://www.instagram.com/p/CHt9aVlgVm2/,kiymiyy,n,Fire Force,whoa (mind in awe),XXXTENTACION
https://www.instagram.com/p/CHu8F_igygS/,Indesires,y,Sword Art Online,Eyes Blue or Brown Can't Remember,Jymixx
https://www.instagram.com/p/CHt1dtWjxn1/,paletteism,y,The Wind Rises,Deep Wood,Chopef
https://www.instagram.com/p/CHaRG4hpm2s/,_strip4.jr,n,Rascal Does Not Dream of Bunny Girl Senpai,Being In Love With You,Shiloh Dynasty
https://www.instagram.com/p/CHN0caOsowh/,thoughtlyy,n,Re: Zero,Simple.,Coldbrew
https://www.instagram.com/p/CHL1zZxA5RQ/,radiantlybroke,n,Ponyo,"look alive, pls",erickD
https://www.instagram.com/p/CHsX0ozAc2V/,cutchlofi,y,Tokyo Ghoul,It was a Good Day (Slowed),Ice Cube 
https://www.instagram.com/p/CHa4RqeAEWd/,radiantlybroke,n,Terror in Resonance,FASHION,Atony
https://www.instagram.com/p/CHJDKU6gx2x/,ck1n6,y,Kakegurui ,Estrelar,MAJORA
https://www.instagram.com/p/CHaivFJg8Js/,trustedfate,n,Future Diary,Laughing on the Outside,Bernadette Caroll
https://www.instagram.com/p/CHjgawXiwKF/,holdmyblues,n,Kakegurui ,Test & Recognise,Seekae
https://www.instagram.com/p/CHQxcScAiMQ/,ck1n6,y,Death Note,,
https://www.instagram.com/p/CHljQdUgUA2/,radiantlybroke,n,Your Lie in April,Bye-Bye Darling,Borns
https://www.instagram.com/p/CHI7sDAAp-U/,c3ffs,y,Another,Jealous,Eyedress
https://www.instagram.com/p/CHqi_A1gJBn/,optiul,y,Angels of Death,Blood Orange,Charcoal Baby
https://www.instagram.com/p/CHk5zLrJh8b/,izanamiiiii_,n,Demon Slayer,Blood Orange,Charcoal Baby
https://www.instagram.com/p/CDMqd4Eg_4w/,b3bo.p,n,Ocean Waves,,
